"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 11:57:41 IST 2025","Wed Aug 20 11:57:43 IST 2025","1908","chromium","AccountRegistationTest.spec.ts","","","","User Regisration Test",""
"passed","Wed Aug 20 13:33:22 IST 2025","Wed Aug 20 13:33:24 IST 2025","2153","chromium","LoginTest.spec.ts","","","","User login test @master @sanity @regression",""
